ID,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
02036,"ROSEMARY,DRIED",9.31,331,4.88,15.22,6.53,64.06,42.6,,1280,29.25,220,70,955,50,3.23,0.55,1.867,4.6,61.2,0.514,0.428,1,,1.74,307,0,307,307,,0,3128,156,0,,,,,,,0,0,,7.371,3.014,2.339,0,1.2,1 tsp,3.3,1 tbsp
02037,SAFFRON,11.9,310,11.43,5.85,5.45,65.37,3.9,,111,11.1,264,252,1724,148,1.09,0.328,28.408,5.6,80.8,0.115,0.267,1.46,,1.01,93,0,93,93,,0,530,27,0,,,,,,,0,0,,1.586,0.429,2.067,0,0.7,1 tsp,2.1,1 tbsp
02038,"SAGE,GROUND",7.96,315,10.63,12.75,7.95,60.73,40.3,1.71,1652,28.12,428,91,1070,11,4.7,0.757,3.133,3.7,32.4,0.754,0.336,5.72,,2.69,274,0,274,274,43.6,0,5900,295,0,0,3485,109,0,1895,7.48,0,0,1714.5,7.03,1.87,1.76,0,0.7,1 tsp,2,1 tbsp
02039,"SAVORY,GROUND",9,272,6.73,5.91,9.63,68.73,45.7,,2132,37.88,377,140,1051,24,4.3,0.847,6.1,4.6,50,0.366,,4.08,,1.81,,,,,,0,5130,257,0,,,,,,,0,0,,3.26,,,0,1.4,1 tsp,4.4,1 tbsp
02041,"SPICES,TARRAGON,DRIED",7.74,295,22.77,7.24,12.03,50.22,7.4,,1139,32.3,347,313,3020,62,3.9,0.677,7.967,4.4,50,0.251,1.339,8.95,,2.41,274,0,274,274,,0,4200,210,0,,,,,,,0,0,,1.881,0.474,3.698,0,0.6,"1 tsp, leaves",1.8,"1 tbsp, leaves"
02042,"SPICES,THYME,DRIED",7.79,276,9.11,7.43,11.74,63.94,37,1.71,1890,123.6,220,201,814,55,6.18,0.86,7.867,4.6,50,0.513,0.399,4.94,,0.55,274,0,274,274,43.6,0,3800,190,0,0,2264,33,0,1895,7.48,0,0,1714.5,2.73,0.47,1.19,0,1,"1 tsp, leaves",2.7,"1 tbsp, leaves"
02043,"TURMERIC,GROUND",12.85,312,9.68,3.25,7.08,67.14,22.7,3.21,168,55,208,299,2080,27,4.5,1.3,19.8,6.2,0.7,0.058,0.15,1.35,0.542,0.107,20,0,20,20,49.2,0,0,0,0,0,0,0,0,0,4.43,0,0,13.4,1.838,0.449,0.756,0,3,1 tsp,9.4,1 tbsp
02044,"BASIL,FRESH",92.06,23,3.15,0.64,1.49,2.65,1.6,0.3,177,3.17,64,56,295,4,0.81,0.385,1.148,0.3,18,0.034,0.076,0.902,0.209,0.155,68,0,68,68,11.4,0,5275,264,0,0,3142,46,0,5650,0.8,0,0,414.8,0.041,0.088,0.389,0,2.5,5 leaves,5.3,"2 tbsp, chopped"
02045,"DILL WEED,FRSH",85.95,43,3.46,1.12,2.45,7.02,2.1,,208,6.59,55,66,738,61,0.91,0.146,1.264,,85,0.058,0.296,1.57,0.397,0.185,150,0,150,150,,0,7718,386,0,,,,,,,0,0,,0.06,0.802,0.095,0,1,5 sprigs,8.9,"1 cup, sprigs"
02046,"MUSTARD,PREPARED,YELLOW",83.72,60,3.74,3.34,3.37,5.83,4,0.92,63,1.61,48,108,152,1104,0.64,0.074,0.422,33.5,0.3,0.177,0.07,0.565,0.254,0.07,7,0,7,7,22.4,0,109,5,0,1,51,27,0,113,0.36,0,0,1.4,0.214,2.182,0.774,0,5,"1 tsp,  or 1 packet",249,1 cup
