ID,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,li_form_B,ros,reprod_B,strategy,self_st,Breeding_sys,flw_muell,poll_vect_B,MycoFlor
Alnus incana,-6.0,7.0,6.0,6.0,M,r,sv,c,SI,X,W,wi,OM
Alopecurus aequalis,8.0,9.0,4.0,7.0,H,h,sv,sr,SC,AF,W,wi,NM
Alopecurus arundinaceus,,,,,H,h,sv,cs,SC,XF,W,wi,OM
Alopecurus geniculatus,8.0,7.0,6.0,6.0,H,h,sv,csr,SC,XF,W,wi,OM
Alopecurus myosuroides,6.0,5.0,7.0,6.0,H,h,s,r,I+,X,W,wi,OM
Alopecurus pratensis,6.0,5.0,6.0,7.0,H,r,sv,c,SI,X,W,wi,OM
Althaea officinalis,6.0,7.0,8.0,4.0,H,h,s,cs,SC,AFXF,B,se,OM
Alyssum alyssoides,9.0,3.0,8.0,1.0,H,r,s,sr,SC,XF,AB,se,NM
Alyssum montanum,,,,,C,r,s,csr,,,AB,se,NM
Amaranthus blitum,8.0,4.0,7.0,8.0,T,r,s,cr,SC,AF,W,wi,OM
Amaranthus caudatus,,,,,T,r,s,cr,SC,AF,W,wi,FM
Amaranthus emarginatus,,,,,T,r,s,cr,SC,AF,W,wi,OM
Amaranthus graecizans,9.0,3.0,7.0,8.0,T,r,s,cr,SC,AF,W,wi,NM
Amaranthus hypochondriacus,8.0,4.0,7.0,7.0,T,r,s,cr,SC,AF,W,wi,OM
Amaranthus powellii,8.0,4.0,7.0,6.0,T,r,s,cr,SC,AF,W,wi,NM
Amaranthus retroflexus,8.0,4.0,7.0,7.0,T,r,s,cr,SC,AF,W,wi,FM
Ambrosia artemisiifolia,9.0,4.0,7.0,6.0,T,r,s,cr,SC,AFXF,W,wi,OM
Ambrosia trifida,8.0,5.0,7.0,7.0,T,r,s,cr,C+,AFXF,W,wi,OM
Amelanchier ovalis,,,,,N,r,ssv,c,SC,XF,A,se,OM
Amelanchier spicata,,,,,N,r,sv,c,SC,XF,A,se,OM
Ammophila arenaria,9.0,4.0,6.0,3.0,G,h,vvs,cs,I+,X,W,wi,FM
Amorpha fruticosa,,,,,N,r,s,c,,,H,se,FM
Anacamptis pyramidalis,7.0,3.0,8.0,2.0,G,h,s,csr,SC,X,F,in,OM
Anagallis arvensis,6.0,4.0,6.0,5.0,T,r,s,r,SC,AF,Po,se,OM
Anagallis tenella,8.0,8.0,5.0,3.0,H,r,sv,csr,,,Po,in,OM
Anaphalis margaritacea,6.0,5.0,5.0,5.0,H,r,sv,,,X,B`,in,FM
Anchusa officinalis,8.0,3.0,7.0,5.0,H,h,s,cs,SC,X,H,se,OM
Andromeda polifolia,9.0,9.0,1.0,1.0,S,r,vvs,cs,SC,AFXF,B,se,OM
Androsace obtusifolia,,,,,C,g,s,csr,SC,AFXF,B,se,OM
Androsace septentrionalis,,,,,H,g,s,sr,SC,AFXF,B,se,FM
Anemone narcissiflora,,,,,G,g,sv,csr,,,Po,se,OM
Anemone nemorosa,4.0,5.0,5.0,4.0,G,r,vvs,csr,I+,XF,Po,se,FM
Anemone ranunculoides,3.0,6.0,7.0,7.0,G,r,sv,csr,,,Po,se,OM
Anemone sylvestris,,,,,H,h,sv,cs,,,Po,se,OM
Anethum graveolens,8.0,5.0,7.0,7.0,T,h,s,cr,SC,AFXF,A,se,OM
Angelica archangelica,7.0,9.0,6.0,7.0,H,h,s,cs,SC,XF,A,in,OM
Angelica sylvestris,6.0,8.0,6.0,4.0,H,h,s,c,SC,XF,A,in,OM
Antennaria dioica,8.0,4.0,3.0,2.0,C,h,sv,csr,,X,B`,in,OM
Anthemis arvensis,7.0,4.0,5.0,6.0,H,h,s,cr,SI,X,B`,in,OM
Anthemis cotula,7.0,4.0,6.0,5.0,H,h,s,cr,I+,X,B`,in,OM
Anthemis tinctoria,,,,,H,h,s,cs,,,B`,in,OM
Anthericum ramosum,,,,,H,h,sv,csr,SC,XF,A,in,FM
Anthoxanthum odoratum,7.0,5.0,4.0,3.0,H,h,sv,csr,C+,X,W,wi,FM
Anthriscus cerefolium,6.0,5.0,7.0,8.0,H,h,s,cr,SC,AFXF,A,in,OM
Anthriscus sylvestris,6.0,5.0,7.0,7.0,H,h,ssv,c,SC,XF,A,ge,FM
Anthyllis vulneraria,8.0,3.0,7.0,2.0,H,h,s,csr,SC,X,H,se,FM
Antirrhinum majus,7.0,3.0,7.0,5.0,C,r,s,cs,SC,XF,Hh,se,OM
Apera spica-venti,6.0,4.0,4.0,5.0,H,h,s,cr,SC,X,W,wi,FM
Aphanes arvensis,6.0,4.0,4.0,4.0,H,h,s,r,SC,AF,A,se,OM
Apium graveolens,8.0,8.0,7.0,7.0,H,h,s,cs,SC,AF,A,se,OM
Apium nodiflorum,7.0,10.0,7.0,7.0,H,h,sv,cs,SC,XF,A,in,NM
Aquilegia vulgaris,6.0,4.0,6.0,4.0,H,h,s,c,,AF,H,se,FM
Arabidopsis thaliana,6.0,3.0,4.0,2.0,H,h,s,r,SC,AO,AB,se,FM
Arabis alpina,7.0,5.0,7.0,3.0,C,h,s,csr,SC,AFXF,AB,se,NM
Arabis caerulea,,,,,H,h,s,csr,SC,AF,AB,se,NM
Arabis glabra,,,,,H,h,s,csr,SC,AO,AB,se,NM
Arabis hirsuta,7.0,4.0,7.0,3.0,H,h,s,csr,SC,AF,AB,se,NM
Arctium lappa,8.0,5.0,7.0,8.0,H,h,s,c,SC,AF,B`,se,FM
Arctium minus,5.0,4.0,7.0,5.0,H,h,s,c,SC,AF,B`,se,OM
Arctium nemorosum,,,,,H,h,s,c,SC,AF,B`,se,OM
Arctostaphylos uva-ursi,6.0,3.0,2.0,2.0,S,r,sv,cs,SC,AO,Hh,se,OM
Arenaria serpyllifolia,8.0,3.0,6.0,4.0,H,r,s,r,SC,AO,AB,se,NM
Armeria arenaria,,,,,C,g,s,csr,I+,X,B`,se,OM
Armeria maritima,8.0,7.0,5.0,5.0,C,g,ssv,csr,I+,X,B`,se,FM
Armoracia rusticana,8.0,5.0,7.0,7.0,G,h,v,c,SI,X,AB,se,FM
Arnica montana,,,,,H,h,sv,csr,I+,X,B`,se,OM
Arrhenatherum elatius,7.0,5.0,7.0,7.0,H,h,ssv,c,I+,X,W,wi,FM
Artemisia absinthium,7.0,4.0,7.0,7.0,S,r,sv,cs,,,Wb,wi,FM
Artemisia annua,9.0,4.0,7.0,6.0,T,h,s,cr,,,Wb,wi,OM
Artemisia campestris,8.0,2.0,5.0,2.0,C,h,s,cs,,,Wb,wi,OM
Artemisia dracunculus,8.0,3.0,6.0,6.0,H,r,sv,c,,,Wb,wi,OM
Artemisia maritima,9.0,7.0,8.0,6.0,C,r,ssv,cs,,,Wb,wi,FM
Artemisia pontica,,,,,H,r,sv,cs,,,Wb,wi,OM
Artemisia rupestris,,,,,C,h,sv,cs,,,Wb,wi,OM
Artemisia scoparia,,,,,H,h,s,cr,,,Wb,wi,OM
Artemisia umbelliformis,,,,,H,h,s,csr,,,Wb,wi,OM
Artemisia vulgaris,7.0,4.0,6.0,7.0,H,h,s,c,,,Wb,wi,FM
Arum maculatum,3.0,5.0,7.0,7.0,G,g,sv,csr,,XF,Dke,in,OM
Asarum europaeum,3.0,5.0,7.0,6.0,H,r,sv,cs,SC,AO,Dke,se,FM
Asclepias syriaca,,,,,G,r,sv,c,SI,X,Dkl,in,OM
Asparagus officinalis,6.0,3.0,6.0,4.0,G,r,sv,cs,,X,B,wi,OM
Asperugo procumbens,7.0,4.0,8.0,8.0,T,h,s,cr,SC,AO,B,se,OM
Asperula cynanchica,7.0,3.0,8.0,2.0,H,r,s,csr,SC,AF,B,se,OM
Asplenium adiantum-nigrum,6.0,4.0,2.0,3.0,H,g,s,csr,SC,AO,,,FM
Asplenium billotii,,,,,H,g,s,csr,,,,,NM
Asplenium ruta-muraria,7.0,3.0,7.0,2.0,H,g,s,csr,SC,I,,,FM
